account,risk_level,max_score,mean_score,total_transactions,suspicious_transactions,total_amount
C2141066548,high_risk,0.8870553521608886,0.8870553521608886,1,1,548288.31
C1541942595,high_risk,0.886035926536975,0.886035926536975,1,1,74230.21
C1800967368,high_risk,0.8817326660381901,0.8817326660381901,1,1,66216.71
C405950359,high_risk,0.8781483916892618,0.8781483916892618,1,1,215798.0
C248483913,high_risk,0.877357033731794,0.877357033731794,1,1,2223005.62
C248609774,high_risk,0.877357033731794,0.741253354411631,13,13,6922001.8
C269892014,high_risk,0.8744758063599616,0.8744758063599616,1,1,44443.08
C626193099,high_risk,0.8716773883745534,0.8716773883745534,1,1,39485.21
C478209179,high_risk,0.8702497896294159,0.8702497896294159,1,1,270824.42
C423580937,high_risk,0.8699887590040472,0.8068807292142021,2,2,2179620.65
C953697072,high_risk,0.8699887590040472,0.8699887590040472,1,1,1686679.57
C84467166,high_risk,0.8657766904336825,0.8657766904336825,1,1,1087578.38
C935808590,high_risk,0.8657766904336825,0.8657766904336825,1,1,1087578.38
C842331982,high_risk,0.8654689680902166,0.8654689680902166,1,1,247575.4
C976827477,high_risk,0.8628789399513832,0.8628789399513832,1,1,186447.51
C460741164,high_risk,0.8627437871674546,0.8627437871674546,1,1,85423.63
C1123559518,high_risk,0.862296767761116,0.862296767761116,1,1,220691.42
C1444494461,high_risk,0.8618428004206078,0.8618428004206078,1,1,1212719.61
C1800500978,high_risk,0.8586335403854992,0.8586335403854992,1,1,111899.09
C12139181,high_risk,0.8584294496509968,0.8584294496509968,1,1,2258388.15
C1789550256,high_risk,0.8584294496509968,0.7140815889749766,18,18,7652263.65
C1394010463,high_risk,0.8575509604971427,0.8575509604971427,1,1,227478.01
C119112899,high_risk,0.854545424606352,0.854545424606352,1,1,83859.59
C702999333,high_risk,0.8541633240742521,0.8541633240742521,1,1,132457.52
C1847431070,high_risk,0.8512663221904462,0.8512663221904462,1,1,15152.15
C984412970,high_risk,0.8508992638160053,0.8508992638160053,1,1,404167.6
C220165304,high_risk,0.8470758443211637,0.8470758443211637,1,1,755499.13
C415280083,high_risk,0.8460903755566429,0.8460903755566429,1,1,400313.33
C355885103,high_risk,0.8438401421637709,0.8438401421637709,1,1,1867849.02
C665576141,high_risk,0.8438401421637709,0.7222902415485919,14,13,8593334.14
C1790387225,high_risk,0.8421698486904723,0.8421698486904723,1,1,61505.91
C378814088,high_risk,0.8377234264552003,0.8377234264552003,1,1,669936.4
C136312946,high_risk,0.8367471056637528,0.8367471056637528,1,1,1918461.7
C1782113663,high_risk,0.8367471056637528,0.6852217290509336,11,10,5439050.76
C1023714065,high_risk,0.8328184077898362,0.6338012344565439,20,13,5357044.91
C896134613,high_risk,0.8328184077898362,0.8328184077898362,1,1,839300.36
C1556461159,high_risk,0.8324131120718357,0.8324131120718357,1,1,310157.55
C1639765351,high_risk,0.831764808253723,0.831764808253723,1,1,311449.38
C1475192960,high_risk,0.8302007375928979,0.8302007375928979,1,1,110226.34
C203819996,high_risk,0.824369961773447,0.824369961773447,1,1,194900.16
C926859124,high_risk,0.8236536492184146,0.8236536492184146,1,1,1505626.01
C482307698,high_risk,0.8232443565296692,0.8232443565296692,1,1,764772.98
C985934102,high_risk,0.8232443565296692,0.6190822123451091,30,19,8700814.72
C1538462491,high_risk,0.8220087334162036,0.8220087334162036,1,1,335979.26
C1974606907,high_risk,0.8217250621393846,0.8217250621393846,1,1,241488.05
C1611291905,high_risk,0.8208445033774852,0.8208445033774852,1,1,785724.89
C1223303171,high_risk,0.8181415074687466,0.8181415074687466,1,1,91721.95
C866273692,high_risk,0.8179258530278484,0.8179258530278484,1,1,273951.34
C1533330615,high_risk,0.814906240647908,0.814906240647908,1,1,336298.77
C1419332030,high_risk,0.8135143986278144,0.8135143986278144,1,1,1349670.68
C1125098735,high_risk,0.8122852786849022,0.8122852786849022,1,1,455440.65
C82275756,high_risk,0.8109320164937939,0.8109320164937939,1,1,621561.65
C1933077874,high_risk,0.8099117877261657,0.8099117877261657,1,1,50938.65
C1739555643,high_risk,0.8083646077183151,0.8083646077183151,1,1,1628887.72
C451111351,high_risk,0.8083646077183151,0.6715291287644805,17,16,6104687.76
C1919545589,high_risk,0.8071037211055776,0.8071037211055776,1,1,792938.33
C203409950,high_risk,0.8067466033558381,0.8067466033558381,1,1,44708.03
C1255024717,high_risk,0.7985308176441306,0.7985308176441306,1,1,179787.29
C2035919725,high_risk,0.7985308176441306,0.7985308176441306,1,1,179787.29
C36531985,high_risk,0.7970644670240524,0.7970644670240524,1,1,158995.29
C695248316,high_risk,0.7968481837723276,0.7968481837723276,1,1,1201716.66
C467632528,high_risk,0.7959006767287329,0.7959006767287329,1,1,1277212.77
C716083600,high_risk,0.7959006767287329,0.6399369273803713,10,7,4841025.5600000005
C1170794006,high_risk,0.7956811823128604,0.6759556330171558,15,13,5747328.04
C1464177809,high_risk,0.7956811823128604,0.7956811823128604,1,1,1478772.04
C1137667747,high_risk,0.7951850735802664,0.7951850735802664,1,1,42012.45
C94830685,high_risk,0.7921908275274736,0.7921908275274736,1,1,955855.0
C2144067911,high_risk,0.7903474912319911,0.7903474912319911,1,1,969631.31
C453211571,high_risk,0.7898917541425565,0.6261703899905171,16,13,6302404.73
C888690253,high_risk,0.7898917541425565,0.7898917541425565,1,1,1741813.1
C1341036477,high_risk,0.787767355550474,0.787767355550474,1,1,1860431.8
C828447060,high_risk,0.7848714991763401,0.7848714991763401,1,1,291753.7
C1359044626,high_risk,0.7814238838098224,0.6216228500816524,11,6,3007428.92
C2022689531,high_risk,0.7814238838098224,0.7814238838098224,1,1,628719.07
C605705199,high_risk,0.7810206116426883,0.7810206116426883,1,1,343189.13
C1196963249,high_risk,0.7807162197100435,0.7807162197100435,1,1,312108.51
C1699486292,high_risk,0.7800478072430113,0.7800478072430113,1,1,189595.83
C662736689,high_risk,0.7800478072430113,0.7619375630732648,4,4,569645.65
C1452722471,high_risk,0.7774743642752868,0.7774743642752868,1,1,3236850.76
C594935031,high_risk,0.7774743642752868,0.7774743642752868,1,1,3236850.76
C1312348533,high_risk,0.77693319415848,0.77693319415848,1,1,283711.39
C1539088279,high_risk,0.7751960497871003,0.7751960497871003,1,1,72897.92
C1928312257,high_risk,0.7724255057297122,0.7724255057297122,1,1,1417001.19
C306206744,high_risk,0.7724255057297122,0.6628394885559997,14,12,5445695.29
C749981943,high_risk,0.7691368888749284,0.7691368888749284,1,1,416001.33
C967677821,high_risk,0.7683885936535659,0.7683885936535659,1,1,1123206.66
C1968196847,high_risk,0.7683452222346479,0.7683452222346479,1,1,297448.33
C1152380885,high_risk,0.7681290187686396,0.7681290187686396,1,1,551607.7
C1234776885,high_risk,0.7681290187686396,0.6235245263214836,11,8,3504799.89
C2029780820,high_risk,0.7649954797468935,0.7649954797468935,1,1,983479.66
C1040847151,high_risk,0.7637787769969449,0.7637787769969449,1,1,1310262.22
C1717884393,high_risk,0.7637787769969449,0.7637787769969449,1,1,1310262.22
C407493402,high_risk,0.7632064850176665,0.7632064850176665,1,1,128278.74
C1609562230,high_risk,0.7629537964938524,0.7629537964938524,1,1,810561.98
C894796772,high_risk,0.7629537964938524,0.7629537964938524,1,1,810561.98
C1107579932,high_risk,0.7628608637974039,0.7628608637974039,1,1,152757.58
C1049817027,high_risk,0.7617218182524008,0.6079303489783524,6,3,1077627.98
C1318475957,high_risk,0.7617218182524008,0.7617218182524008,1,1,414285.51
C1493042329,high_risk,0.7615867829099336,0.7615867829099336,1,1,349640.51
C909295153,high_risk,0.7615867829099336,0.7434825399992935,2,2,510858.12
C861522296,high_risk,0.7612734293168943,0.7612734293168943,1,1,475857.13
C1740826931,high_risk,0.7607155315673166,0.7607155315673166,1,1,50101.88
C62739928,high_risk,0.7582330619014159,0.7582330619014159,1,1,29572.74
C2066892165,high_risk,0.7574745363032378,0.7574745363032378,1,1,5853.21
C205615258,high_risk,0.7563836165850336,0.7563836165850336,1,1,183816.31
C1220897602,high_risk,0.7563754235150657,0.7563754235150657,1,1,732167.83
C1541565890,high_risk,0.7563754235150657,0.7563754235150657,1,1,732167.83
C458998685,high_risk,0.7562524973939242,0.7562524973939242,1,1,1127058.69
C1060041730,high_risk,0.7561897524650341,0.7561897524650341,1,1,359122.16
C1329675084,high_risk,0.7561897524650341,0.7561897524650341,1,1,359122.16
C1032568028,high_risk,0.7558347832367297,0.7558347832367297,1,1,77642.84
C26928827,high_risk,0.7554021633743375,0.7554021633743375,1,1,196725.32
C181326224,high_risk,0.7534396090587057,0.7534396090587057,1,1,474447.95
C401424608,high_risk,0.7534396090587057,0.5782684943418891,20,9,4970749.57
C1765900922,high_risk,0.7532949581175856,0.7532949581175856,1,1,982862.81
C834824701,high_risk,0.7531246335128394,0.7531246335128394,1,1,18513.77
C2116179210,high_risk,0.7530762343260273,0.7530762343260273,1,1,848231.57
C365625031,high_risk,0.7528772519646084,0.7528772519646084,1,1,152823.85
C977160959,high_risk,0.7503048940571686,0.7503048940571686,1,1,438437.09
C865858182,high_risk,0.7493904121902336,0.7493904121902336,1,1,106727.81
C1618683794,high_risk,0.7486582294016682,0.7486582294016682,1,1,651387.84
C1197721383,high_risk,0.7444697859520052,0.7444697859520052,1,1,317393.38
C1286084959,high_risk,0.7444697859520052,0.6142901107236287,17,13,5211792.86
C109065770,high_risk,0.7444151203428988,0.7444151203428988,1,1,532111.14
C997608398,high_risk,0.7444151203428988,0.5614375257943217,12,4,2314775.08
C2088061107,high_risk,0.743772699424357,0.743772699424357,1,1,492941.08
C392292416,high_risk,0.7431756355650448,0.6413227115794761,13,10,3654313.6
C573102881,high_risk,0.7431756355650448,0.7431756355650448,1,1,473469.94
C1061448687,high_risk,0.7413462831746422,0.7413462831746422,1,1,371883.82
C1971489295,high_risk,0.7413462831746422,0.581913373641725,10,4,2086553.6700000002
C366916060,high_risk,0.740636376690998,0.740636376690998,1,1,722161.86
C836514715,high_risk,0.740636376690998,0.6566348780656098,2,1,735715.65
C33524623,high_risk,0.7392053442907666,0.5722533509553688,18,6,4877140.55
C605686842,high_risk,0.7392053442907666,0.7392053442907666,1,1,864389.49
C2050320909,high_risk,0.7374792340470878,0.7374792340470878,1,1,33499.16
C279519413,high_risk,0.7371942014056281,0.7371942014056281,1,1,1295720.56
C748014372,high_risk,0.7371942014056281,0.72373199803621,2,2,2516284.38
C1520491508,high_risk,0.7350318589597098,0.7350318589597098,1,1,301298.69
C128870695,high_risk,0.7345936285556147,0.7345936285556147,1,1,407955.83
C96340472,high_risk,0.7345936285556147,0.7345936285556147,1,1,407955.83
C1060550557,high_risk,0.7328403141452918,0.7328403141452918,1,1,1371578.05
C518953848,high_risk,0.7328403141452918,0.7328403141452918,1,1,1371578.05
C788048067,high_risk,0.7315882801179484,0.7315882801179484,1,1,51284.87
C722417467,high_risk,0.7295435485869222,0.7295435485869222,1,1,679502.24
C778337881,high_risk,0.7289009493060689,0.7289009493060689,1,1,135357.16
C100708535,high_risk,0.7274072969925807,0.7274072969925807,1,1,377287.8
C1526298704,high_risk,0.7268487906432506,0.5288157128443424,7,1,846306.62
C540092563,high_risk,0.7268487906432506,0.7268487906432506,1,1,269736.99
C708613859,high_risk,0.7254594312112019,0.7254594312112019,1,1,193161.04
C552674617,high_risk,0.7253782970886533,0.7253782970886533,1,1,161217.61
C961983234,high_risk,0.7251353339728894,0.7251353339728894,1,1,327686.42
C501608687,high_risk,0.7250927843325601,0.7250927843325601,1,1,109732.52
C1846982837,high_risk,0.7250694013007215,0.7250694013007215,1,1,637161.0
C1563053805,high_risk,0.7219582741261661,0.7219582741261661,1,1,928722.69
C1962865655,high_risk,0.7218251226603212,0.7218251226603212,1,1,286737.98
C1334405552,high_risk,0.720803860683715,0.720803860683715,1,1,1277212.77
C431687661,high_risk,0.720803860683715,0.720803860683715,1,1,1277212.77
C173738886,high_risk,0.7202843613141188,0.7202843613141188,1,1,1271.77
C932583850,high_risk,0.7202843613141188,0.5975224578786935,14,6,2890376.99
C579447973,high_risk,0.7190611903831833,0.7190611903831833,1,1,173512.93
C1947941827,high_risk,0.718077552703174,0.718077552703174,1,1,138857.19
C265577219,high_risk,0.717989132071001,0.717989132071001,1,1,169854.57
C1153933106,high_risk,0.7178856895050953,0.7178856895050953,1,1,799483.57
C80722676,high_risk,0.7178265641877783,0.7178265641877783,1,1,315552.62
C962700314,high_risk,0.7176735334151401,0.7176735334151401,1,1,521419.58
C345290829,high_risk,0.716781042515251,0.716781042515251,1,1,668237.36
C1706272858,high_risk,0.7167690151531829,0.7167690151531829,1,1,156922.36
C1979080261,high_risk,0.7164622353200707,0.7164622353200707,1,1,217615.09
C973604791,high_risk,0.7155220091184922,0.7155220091184922,1,1,902485.36
C1850180796,high_risk,0.7134320821704556,0.5926073150695725,4,1,817839.39
C906448455,high_risk,0.7134320821704556,0.7134320821704556,1,1,300932.58
C512549200,high_risk,0.7133282762726063,0.7133282762726063,1,1,5346.89
C1466413743,high_risk,0.7131241592789845,0.7131241592789845,1,1,331545.25
C512256603,high_risk,0.7128071140382968,0.7128071140382968,1,1,245041.35
C1860886124,high_risk,0.7120039645639045,0.7120039645639045,1,1,355294.5
C747464370,high_risk,0.7120039645639045,0.5630896710709506,14,4,2857434.91
C1256405521,high_risk,0.7118457236533161,0.7118457236533161,1,1,352568.35
C1824322115,high_risk,0.7103049928784957,0.7103049928784957,1,1,143148.97
C1377095440,high_risk,0.7102697946667919,0.7102697946667919,1,1,1220563.82
C2113243119,high_risk,0.7090284728849016,0.7090284728849016,1,1,208501.33
C1599823012,high_risk,0.7082931086152318,0.7082931086152318,1,1,16662.21
C1731967318,high_risk,0.7082244030968623,0.7082244030968623,1,1,37475.31
C1967496309,high_risk,0.7078132995229842,0.7078132995229842,1,1,355500.25
C766572210,high_risk,0.7078132995229842,0.6260797674649667,10,7,2711336.43
C16736375,high_risk,0.7074279339840064,0.7074279339840064,1,1,336237.38
C1620409359,high_risk,0.7072687872789067,0.7072687872789067,1,1,82691.56
C1278839936,high_risk,0.7033668144340361,0.7033668144340361,1,1,257348.03
C1731137986,high_risk,0.7032396906578636,0.7032396906578636,1,1,902505.61
C1899073220,high_risk,0.7028702823558091,0.5737131173813543,7,2,1082227.58
C2030121719,high_risk,0.7028702823558091,0.7028702823558091,1,1,252129.73
C1028472807,high_risk,0.7028476607091526,0.7028476607091526,1,1,128022.19
C1906947271,high_risk,0.7027592626566417,0.7027592626566417,1,1,569068.84
C1672598778,high_risk,0.7026171641302872,0.7026171641302872,1,1,235564.81
C1825027294,high_risk,0.7022877975789419,0.6504761361808667,2,1,22663.0
C1894698434,high_risk,0.7022877975789419,0.7022877975789419,1,1,18622.16
C1504109395,high_risk,0.7018370556245601,0.5125850123231194,6,2,1311038.21
C242408359,high_risk,0.7018370556245601,0.7018370556245601,1,1,490341.11
C1966670937,high_risk,0.7015609474062876,0.7015609474062876,1,1,132953.45
C811562535,high_risk,0.7009971531969647,0.7009971531969647,1,1,219220.21
C1132379993,high_risk,0.6998008456845598,0.6998008456845598,1,1,182385.22
C1498438472,high_risk,0.6998008456845598,0.6998008456845598,1,1,182385.22
C1602167682,high_risk,0.698775554775793,0.698775554775793,1,1,427175.03
C1360767589,high_risk,0.6983613900778368,0.5668282684418896,12,5,1923903.57
C376725601,high_risk,0.6983613900778368,0.6983613900778368,1,1,61150.85
C58890945,high_risk,0.697525493161969,0.697525493161969,1,1,230021.01
C752011518,high_risk,0.6966621164501353,0.6966621164501353,1,1,600581.61
C2002174925,high_risk,0.6961018447527982,0.6961018447527982,1,1,214851.41
C1340848245,high_risk,0.695719732625506,0.695719732625506,1,1,79285.8
C312168418,high_risk,0.6947954612672346,0.6947954612672346,1,1,289272.75
C75457651,high_risk,0.6947954612672346,0.48558206408940324,6,2,626158.88
C1710783020,high_risk,0.6947227571959351,0.6947227571959351,1,1,157949.72
C486759395,high_risk,0.6943530085638303,0.6943530085638303,1,1,565349.9
C13117403,high_risk,0.6936960626048309,0.6936960626048309,1,1,283308.0
C1262110193,high_risk,0.6921078514109711,0.6921078514109711,1,1,314403.14
C1591161296,high_risk,0.6919897678162528,0.6919897678162528,1,1,338964.91
C2049348234,high_risk,0.6917762393759567,0.6917762393759567,1,1,614317.64
C1012552887,high_risk,0.6907758752345805,0.6907758752345805,1,1,272709.33
C1935365522,high_risk,0.6907758752345805,0.6629610187530871,2,2,386984.88
C649630909,high_risk,0.6906848267242468,0.6906848267242468,1,1,855931.4
C1195378184,high_risk,0.6904863703846285,0.6904863703846285,1,1,270453.42
C1370862296,high_risk,0.6904863703846285,0.6904863703846285,1,1,270453.42
C1868809295,high_risk,0.6904521840322705,0.6904521840322705,1,1,161795.9
C2097361633,high_risk,0.6894166912872108,0.6894166912872108,1,1,37554.62
C1531333864,high_risk,0.6890864783054682,0.5485225909343687,13,6,2229142.43
C212963786,high_risk,0.6890864783054682,0.6890864783054682,1,1,277807.48
C338887787,high_risk,0.6885272375854266,0.6885272375854266,1,1,216133.99
C2029754983,high_risk,0.6884647313553538,0.6884647313553538,1,1,21898.97
C883678948,high_risk,0.6878598408666039,0.6878598408666039,1,1,789419.02
C1543518287,high_risk,0.6872283440607514,0.6872283440607514,1,1,220431.09
C1972143064,high_risk,0.6866003738645277,0.6866003738645277,1,1,160347.32
C1262237002,high_risk,0.6864407612936967,0.6864407612936967,1,1,246816.65
C1135935001,high_risk,0.6862407248490265,0.6862407248490265,1,1,639378.37
C1618984457,high_risk,0.6858665528845764,0.6858665528845764,1,1,334234.39
C948395645,high_risk,0.6858356368110232,0.6858356368110232,1,1,61858.19
C1577213552,high_risk,0.6852013508946497,0.6593388038801865,4,4,387467.84
C1580874189,high_risk,0.6852013508946497,0.6852013508946497,1,1,302665.03
C1775120226,high_risk,0.6851844585336495,0.6851844585336495,1,1,1128.69
C240650537,high_risk,0.6823741308764186,0.5127562252535577,7,1,661474.79
C538667887,high_risk,0.6823741308764186,0.6823741308764186,1,1,345347.7
C1177072083,high_risk,0.6823372881854197,0.6823372881854197,1,1,682894.68
C848097505,high_risk,0.6821158101802053,0.6821158101802053,1,1,403418.39
C2072130509,high_risk,0.6814032017472675,0.6814032017472675,1,1,114271.72
C1293462056,high_risk,0.6813904148556476,0.6813904148556476,1,1,285185.34
C1335050193,high_risk,0.6813904148556476,0.5170871461805054,12,2,1397583.05
C870322840,high_risk,0.6811080968351018,0.6811080968351018,1,1,222126.95
C1797159635,high_risk,0.6810785022106542,0.6810785022106542,1,1,94096.34
C2083562754,high_risk,0.6810785022106542,0.5696232547122667,17,4,3061591.1799999997
C1749186397,high_risk,0.6807205212689107,0.582915207760146,13,5,1268194.95
C1917082298,high_risk,0.6807205212689107,0.6807205212689107,1,1,181002.01
C102103410,high_risk,0.6804347746467247,0.6804347746467247,1,1,383446.61
C564160838,high_risk,0.6804347746467247,0.609924474483671,23,12,5980703.33
C1318822808,high_risk,0.6802373930265215,0.5149456469848499,8,1,1123342.16
C1848886161,high_risk,0.6802373930265215,0.6802373930265215,1,1,137465.55
C1101598632,high_risk,0.6800525332023004,0.6800525332023004,1,1,173597.57
C1624817884,high_risk,0.6790390042197898,0.6790390042197898,1,1,126167.7
C1828508781,high_risk,0.6789895123168934,0.6789895123168934,1,1,10844.33
C2083117811,high_risk,0.6789895123168934,0.5705401098317326,5,3,667074.24
C1434066477,high_risk,0.6789885826541389,0.6789885826541389,1,1,155075.41
C1747053097,high_risk,0.678982724543316,0.678982724543316,1,1,236747.6
C757108857,high_risk,0.678982724543316,0.5339879253777037,5,1,689126.5700000001
C201677908,high_risk,0.6778188370728598,0.6778188370728598,1,1,480222.51
C748975217,high_risk,0.6775502170983859,0.6775502170983859,1,1,68332.36
C679449777,high_risk,0.676138711195187,0.676138711195187,1,1,699928.86
C998351292,high_risk,0.676138711195187,0.5592415746480226,16,6,2594571.0
C1733619456,high_risk,0.6760151386364299,0.6760151386364299,1,1,139555.44
C317071334,high_risk,0.6760151386364299,0.6633130380602847,2,2,144777.21
C1917442783,high_risk,0.6756239538995862,0.6756239538995862,1,1,251482.63
C13329486,high_risk,0.6752610311007092,0.6752610311007092,1,1,84212.94
C1336775847,high_risk,0.6752610311007092,0.6752610311007092,1,1,84212.94
C1172535934,high_risk,0.6747046464075458,0.6747046464075458,1,1,739112.93
C1621254922,high_risk,0.6742464034961069,0.6742464034961069,1,1,227335.16
C502102804,high_risk,0.6729441908748666,0.6729441908748666,1,1,99295.78
C835773569,high_risk,0.6729334121610633,0.6729334121610633,1,1,710544.77
C798622145,high_risk,0.672876752023789,0.672876752023789,1,1,158775.58
C1411543296,high_risk,0.6728604765722533,0.6728604765722533,1,1,173948.89
C1740000325,high_risk,0.6728604765722533,0.5599818071371502,16,4,2001470.08
C577734751,high_risk,0.672758060960935,0.672758060960935,1,1,598782.65
C1658704411,high_risk,0.6725538911522428,0.6725538911522428,1,1,125492.59
C1096283470,high_risk,0.67237839856448,0.5267658258198222,7,2,591156.52
C925568390,high_risk,0.67237839856448,0.67237839856448,1,1,199318.34
C173059685,high_risk,0.6715876910688479,0.6715876910688479,1,1,46757.44
C1395173825,high_risk,0.6711657961175157,0.6711657961175157,1,1,291713.22
C194415222,high_risk,0.670854496859137,0.670854496859137,1,1,46630.53
C24334184,high_risk,0.6705222649302145,0.6705222649302145,1,1,229982.47
C459857341,high_risk,0.6681150101420239,0.617905488811846,3,2,451368.98000000004
C523211332,high_risk,0.6681150101420239,0.6681150101420239,1,1,22384.21
C2017380745,high_risk,0.6679432158106773,0.6679432158106773,1,1,22190.99
C367967231,high_risk,0.667853840506688,0.667853840506688,1,1,206405.92
C1248435962,high_risk,0.6673482855742523,0.6673482855742523,1,1,5130.16
C1585711807,high_risk,0.6670738542930835,0.6670738542930835,1,1,783.31
C284686302,high_risk,0.6670738542930835,0.6651056588782059,2,2,15853.1
C332365138,high_risk,0.6667639823173166,0.6667639823173166,1,1,55536.86
C2031377754,high_risk,0.6663956972151148,0.6663956972151148,1,1,206097.65
C1660223291,high_risk,0.6656594974723027,0.6656594974723027,1,1,106634.77
C557725225,high_risk,0.6655318394127184,0.6655318394127184,1,1,56912.01
C614685048,high_risk,0.6655318394127184,0.5608674099428231,5,1,517511.51
C388802347,high_risk,0.6654509601432429,0.6654509601432429,1,1,517915.91
C1078262677,high_risk,0.665449122992912,0.665449122992912,1,1,311023.52
C1816468636,high_risk,0.6653527414297427,0.6653527414297427,1,1,170207.14
C2050019814,high_risk,0.6653527414297427,0.5848484330335728,5,2,560610.14
C1946111918,high_risk,0.6653526234053497,0.6653526234053497,1,1,30811.56
C22805895,high_risk,0.6653526234053497,0.579398647023422,7,2,1380139.8699999999
C472234151,high_risk,0.6648341088153752,0.6648341088153752,1,1,175443.85
C1251219927,high_risk,0.6642993461817401,0.6642993461817401,1,1,250968.18
C307488715,high_risk,0.6636076831003831,0.6636076831003831,1,1,73464.06
C1721246982,high_risk,0.663460340241353,0.6184180577424407,4,2,1244294.64
C352378889,high_risk,0.663460340241353,0.663460340241353,1,1,348463.93
C51460663,high_risk,0.6633806196386629,0.6633806196386629,1,1,111549.83
C1457417579,high_risk,0.6631631748583413,0.6631631748583413,1,1,25927.54
C310412574,high_risk,0.6631374634633284,0.6631374634633284,1,1,15069.79
C2032909428,high_risk,0.6629131879794214,0.6629131879794214,1,1,221693.08
C1807176280,high_risk,0.6623177920272691,0.6623177920272691,1,1,89327.65
C475394679,high_risk,0.6623098124961405,0.6623098124961405,1,1,86204.31
C726212590,high_risk,0.6621950888413956,0.6621950888413956,1,1,377520.94
C1936550492,high_risk,0.6620576654988867,0.6620576654988867,1,1,369989.2
C1739267143,high_risk,0.6613330450515078,0.6613330450515078,1,1,234094.24
C792855998,high_risk,0.6603397425906865,0.6603397425906865,1,1,10265.17
M1424108509,high_risk,0.6603397425906865,0.6603397425906865,1,1,10265.17
C837246227,high_risk,0.6602722116071424,0.6602722116071424,1,1,62983.91
C793319856,high_risk,0.6602488436633289,0.6602488436633289,1,1,301680.88
C1509514333,high_risk,0.6598580814456392,0.5404608255850486,9,4,1498352.82
C1531200408,high_risk,0.6598580814456392,0.6598580814456392,1,1,91457.82
C2008547236,high_risk,0.6598416348543525,0.6598416348543525,1,1,216806.48
C864326906,high_risk,0.659730828129006,0.659730828129006,1,1,6284.18
C89509666,high_risk,0.6595259300737244,0.6595259300737244,1,1,6911.99
M1806880779,high_risk,0.6595259300737244,0.6595259300737244,1,1,6911.99
C192456457,high_risk,0.6595224980971446,0.6595224980971446,1,1,273305.73
C564817260,high_risk,0.6590908881695307,0.6590908881695307,1,1,100275.09
C648315947,high_risk,0.6587857772318924,0.6587857772318924,1,1,76932.89
